cluster.index,componentindex,merge
15171,1695,X1232.6_8
23165,-1,X1232.7_4.1
25696,-1,X1233.1_4.3
10216,-1,X1234.6_7.1
28113,-1,X1235.1_5
10114,-1,X1236.2_8.8
9932,-1,X1236.5_7.8
13635,-1,X1236.8_6.8
18891,-1,X1236.8_7.3
20252,-1,X1237.2_8.8
25409,-1,X1238_7.5
18826,-1,X1238.3_7.4
4708,-1,X1238.3_8.4
28035,-1,X1238.4_3.6
23616,-1,X1239.2_3.5
4962,-1,X1239.6_3.6
4836,-1,X1239.6_8.4
29773,-1,X1240.1_3.6
7197,1246,X1241.3_5.8
31247,-1,X1242.7_8.8
10027,1695,X1248.4_7.7
19474,1695,X1250.1_7.8
19750,-1,X1253.2_6.8
15720,236,X1258.7_8.8
5438,-1,X1259_7.9
19693,-1,X1260.2_6.8
19055,-1,X1260.6_7.1
19437,-1,X1266.3_8
12087,-1,X1267.1_6.5
5640,-1,X1275_8.1
29489,-1,X1275.2_5.5
853,-1,X1275.6_5.8
14455,867,X1275.7_8.6
25931,-1,X1276_5.4
8003,-1,X1276.2_5.7
14302,867,X1277.9_7.9
10164,1695,X1282.5_7.4
14309,-1,X1284.5_7.9
9962,374,X1284.6_7.4
29403,-1,X1291.3_5.8
14347,-1,X1292_8
8711,-1,X1292.4_5.7
30150,-1,X1293.1_5
29605,-1,X1293.2_5.7
4732,-1,X1293.6_5.7
14463,-1,X1295.8_7.7
14767,-1,X1296_3.8
10083,-1,X1298.2_6.5
10188,-1,X1298.3_5.9
29420,-1,X1298.4_5.7
9971,374,X1298.5_7.6
27701,-1,X1298.6_5
12669,-1,X1298.6_5.2
27720,-1,X1298.6_8.8
27613,-1,X1298.8_5.7
10024,-1,X1299.1_6.5
23232,-1,X1299.6_5.2
10088,374,X1300.3_7.3
14814,374,X1300.8_7
14590,7,X1301.6_7.6
14576,468,X1302.7_7.9
12449,-1,X1303.7_8.9
14336,-1,X1306_8
9877,-1,X1307.4_7.1
29580,-1,X1307.5_4.5
16583,-1,X1308.2_6
19549,-1,X1309.3_7.8
16052,-1,X1311_6.3
20664,-1,X1312.7_7.5
14140,273,X1312.7_8.5
9972,374,X1314.5_7.3
19973,-1,X1314.7_6.3
19459,-1,X1316.8_6.9
19533,7,X1317.6_7.5
28626,-1,X1318.8_7.3
9961,-1,X1320.5_6.7
24670,-1,X1325.1_4.5
22759,7,X1331.8_7.7
27774,-1,X1337.9_7.7
12062,-1,X1339.1_7.5
8434,-1,X1339.3_8.1
11658,-1,X1343_9.3
22763,7,X1345.6_7.9
11661,-1,X1347.3_9.3
10408,-1,X1348.4_9.3
31360,-1,X1349.2_3.6
24366,874,X1350.3_7.3
27440,-1,X1351.2_7.9
21172,-1,X1353.1_7
19456,-1,X1354.4_7.9
22803,7,X1357.8_7.9
19444,7,X1360.3_7.7
11507,-1,X1362.8_7.9
22767,-1,X1365.5_8.1
7688,-1,X1369.6_9.3
25376,-1,X1370.3_9.3
11616,7,X1371.6_8.1
7751,-1,X1372_9.3
26481,236,X1372.7_8.7
19604,468,X1372.8_7.1
16289,236,X1372.8_9.3
15563,7,X1373.7_7.9
16290,236,X1374.7_9.4
15384,-1,X1377_8
22884,-1,X1379.3_8.4
24350,468,X1386.8_7.4
22757,7,X1388.7_8.1
22752,-1,X1393.3_8.4
11499,-1,X1396.5_8
22831,7,X1402.6_8.4
