ID,rep,merge.5,merge,species,cryo,GL_CSSC,zip.code.GPS,state,SPECIES_SOURCE
FYRE1_B-7_H-B7_GL77-A8-A.mzXML Peak area,a,GL77-A8-Aa,GL77.A8.Aa,brevicompactum,GL77-A8-A,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_B-8_H-B8_GL36-G2.mzXML Peak area,a,GL36-G2a,GL36.G2a,brevicompactum,GL36-G2,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_B-9_H-B9_GL41-B2.mzXML Peak area,a,GL41-B2a,GL41.B2a,brevicompactum,GL41-B2,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_C-1_H-C1_GL37-E4.mzXML Peak area,a,GL37-E4a,GL37.E4a,brevicompactum,GL37-E4,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_C-2_H-C2_GL39-B6.mzXML Peak area,a,GL39-B6a,GL39.B6a,brevicompactum,GL39-B6,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_C-3_H-C3_GL36-B9.mzXML Peak area,a,GL36-B9a,GL36.B9a,brevicompactum,GL36-B9,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_C-4_H-C4_GL36-B8.mzXML Peak area,a,GL36-B8a,GL36.B8a,brevicompactum,GL36-B8,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_C-5_H-C5_GL36-G9.mzXML Peak area,a,GL36-G9a,GL36.G9a,brevicompactum,GL36-G9,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_C-7_H-C7_GL77-A8-B.mzXML Peak area,a,GL77-A8-Ba,GL77.A8.Ba,brevicompactum,GL77-A8-B,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_D-11_H-E4_GL44-F11.mzXML Peak area,b,GL44-F11b,GL44.F11b,brevicompactum,GL44-F11,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_D-12_H-E5_GL38-H7.mzXML Peak area,b,GL38-H7b,GL38.H7b,brevicompactum,GL38-H7,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_E-1_H-E6_GL37-C10.mzXML Peak area,b,GL37-C10b,GL37.C10b,brevicompactum,GL37-C10,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_E-10_H-F3_GL36-B9.mzXML Peak area,b,GL36-B9b,GL36.B9b,brevicompactum,GL36-B9,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_E-11_H-F4_GL36-B8.mzXML Peak area,b,GL36-B8b,GL36.B8b,brevicompactum,GL36-B8,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_E-12_H-F5_GL36-G9.mzXML Peak area,b,GL36-G9b,GL36.G9b,brevicompactum,GL36-G9,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_E-2_H-E7_GL77-A8-A.mzXML Peak area,b,GL77-A8-Ab,GL77.A8.Ab,brevicompactum,GL77-A8-A,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_E-3_H-E8_GL36-G2.mzXML Peak area,b,GL36-G2b,GL36.G2b,brevicompactum,GL36-G2,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_E-4_H-E9_GL41-B2.mzXML Peak area,b,GL41-B2b,GL41.B2b,brevicompactum,GL41-B2,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_E-5_H-E10_GL38-A5.mzXML Peak area,b,GL38-A5b,GL38.A5b,brevicompactum,GL38-A5,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_E-6_H-E11_GL36-D1.mzXML Peak area,b,GL36-D1b,GL36.D1b,brevicompactum,GL36-D1,GL,lake michigan,lakes,brevicompactum-GL
